datetime,price,vol,B/S,order
2021-07-13 09:25:00,19.77,29,2,0
2021-07-13 09:30:00,19.7,44,1,1
2021-07-13 09:30:00,19.75,30,0,2
2021-07-13 09:30:00,19.68,154,1,3
2021-07-13 09:30:00,19.66,5,0,4
2021-07-13 09:30:00,19.57,17,1,5
2021-07-13 09:30:00,19.57,15,1,6
2021-07-13 09:30:00,19.56,4,1,7
2021-07-13 09:30:00,19.55,18,0,8
2021-07-13 09:30:00,19.56,1,0,9
2021-07-13 09:30:00,19.57,30,0,10
2021-07-13 09:30:00,19.62,38,0,11
2021-07-13 09:31:00,19.57,22,1,12
2021-07-13 09:31:00,19.57,24,1,13
2021-07-13 09:31:00,19.56,5,1,14
2021-07-13 09:31:00,19.56,12,0,15
2021-07-13 09:31:00,19.55,9,1,16
2021-07-13 09:31:00,19.56,1,2,17
2021-07-13 09:31:00,19.56,14,1,18
2021-07-13 09:31:00,19.56,16,0,19
2021-07-13 09:31:00,19.55,13,1,20
2021-07-13 09:31:00,19.57,24,0,21
2021-07-13 09:31:00,19.57,15,1,22
2021-07-13 09:31:00,19.56,20,1,23
2021-07-13 09:32:00,19.56,15,0,24
2021-07-13 09:32:00,19.56,2,1,25
2021-07-13 09:32:00,19.56,2,1,26
2021-07-13 09:32:00,19.55,11,1,27
2021-07-13 09:32:00,19.56,3,1,28
2021-07-13 09:32:00,19.56,50,0,29
2021-07-13 09:32:00,19.55,14,1,30
2021-07-13 09:32:00,19.56,2,0,31
2021-07-13 09:32:00,19.56,3,0,32
2021-07-13 09:32:00,19.56,7,1,33
2021-07-13 09:32:00,19.56,1,1,34
2021-07-13 09:32:00,19.56,1,1,35
2021-07-13 09:33:00,19.56,18,1,36
2021-07-13 09:33:00,19.55,69,1,37
2021-07-13 09:33:00,19.54,27,1,38
2021-07-13 09:33:00,19.54,25,1,39
2021-07-13 09:33:00,19.54,42,1,40
2021-07-13 09:33:00,19.53,6,1,41
2021-07-13 09:33:00,19.53,9,1,42
2021-07-13 09:33:00,19.52,17,1,43
2021-07-13 09:33:00,19.52,33,1,44
2021-07-13 09:33:00,19.5,158,1,45
2021-07-13 09:33:00,19.5,12,1,46
2021-07-13 09:33:00,19.5,11,1,47
2021-07-13 09:34:00,19.51,10,0,48
2021-07-13 09:34:00,19.51,26,0,49
2021-07-13 09:34:00,19.51,14,1,50
2021-07-13 09:34:00,19.5,29,1,51
2021-07-13 09:34:00,19.51,53,0,52
2021-07-13 09:34:00,19.51,20,1,53
2021-07-13 09:34:00,19.53,17,0,54
2021-07-13 09:34:00,19.53,1,1,55
2021-07-13 09:34:00,19.55,5,0,56
2021-07-13 09:34:00,19.55,10,1,57
2021-07-13 09:34:00,19.53,11,1,58
2021-07-13 09:34:00,19.53,4,1,59
2021-07-13 09:34:00,19.54,18,0,60
2021-07-13 09:35:00,19.53,16,1,61
2021-07-13 09:35:00,19.52,6,1,62
2021-07-13 09:35:00,19.52,66,1,63
2021-07-13 09:35:00,19.52,2,1,64
2021-07-13 09:35:00,19.52,13,1,65
2021-07-13 09:35:00,19.52,23,1,66
2021-07-13 09:35:00,19.52,13,1,67
2021-07-13 09:35:00,19.52,3,0,68
2021-07-13 09:35:00,19.52,2,0,69
2021-07-13 09:35:00,19.52,11,0,70
2021-07-13 09:35:00,19.52,2,1,71
2021-07-13 09:35:00,19.52,16,1,72
2021-07-13 09:35:00,19.53,1,1,73
2021-07-13 09:36:00,19.53,19,1,74
2021-07-13 09:36:00,19.53,37,0,75
2021-07-13 09:36:00,19.53,7,2,76
2021-07-13 09:36:00,19.53,5,1,77
2021-07-13 09:36:00,19.53,8,1,78
2021-07-13 09:36:00,19.54,9,0,79
2021-07-13 09:36:00,19.54,8,1,80
2021-07-13 09:37:00,19.54,8,1,81
2021-07-13 09:37:00,19.54,5,1,82
2021-07-13 09:37:00,19.54,8,1,83
2021-07-13 09:37:00,19.54,5,1,84
2021-07-13 09:37:00,19.55,15,0,85
2021-07-13 09:37:00,19.54,10,1,86
2021-07-13 09:37:00,19.55,6,0,87
2021-07-13 09:37:00,19.55,9,1,88
2021-07-13 09:38:00,19.56,1,1,89
2021-07-13 09:38:00,19.56,2,1,90
2021-07-13 09:38:00,19.56,1,1,91
2021-07-13 09:38:00,19.57,2,1,92
2021-07-13 09:38:00,19.56,17,1,93
2021-07-13 09:38:00,19.57,1,0,94
2021-07-13 09:38:00,19.59,10,0,95
2021-07-13 09:38:00,19.59,4,0,96
2021-07-13 09:39:00,19.59,3,0,97
2021-07-13 09:39:00,19.59,1,1,98
2021-07-13 09:39:00,19.57,32,1,99
2021-07-13 09:39:00,19.57,33,0,100
2021-07-13 09:39:00,19.56,2,1,101
2021-07-13 09:39:00,19.56,2,1,102
2021-07-13 09:39:00,19.56,3,1,103
2021-07-13 09:39:00,19.56,2,0,104
2021-07-13 09:39:00,19.55,19,1,105
2021-07-13 09:39:00,19.56,5,2,106
2021-07-13 09:39:00,19.56,2,1,107
2021-07-13 09:39:00,19.56,3,1,108
2021-07-13 09:39:00,19.56,12,0,109
2021-07-13 09:39:00,19.55,2,1,110
2021-07-13 09:40:00,19.54,4,1,111
2021-07-13 09:40:00,19.53,79,1,112
2021-07-13 09:40:00,19.53,10,1,113
2021-07-13 09:40:00,19.54,3,0,114
2021-07-13 09:40:00,19.54,2,1,115
2021-07-13 09:40:00,19.53,5,1,116
2021-07-13 09:40:00,19.53,2,1,117
2021-07-13 09:40:00,19.53,88,1,118
2021-07-13 09:40:00,19.52,45,1,119
2021-07-13 09:40:00,19.52,4,1,120
2021-07-13 09:40:00,19.52,1,1,121
2021-07-13 09:41:00,19.53,1,0,122
2021-07-13 09:41:00,19.53,8,1,123
2021-07-13 09:41:00,19.53,2,1,124
2021-07-13 09:41:00,19.53,9,1,125
2021-07-13 09:41:00,19.52,36,1,126
2021-07-13 09:41:00,19.51,3,1,127
2021-07-13 09:41:00,19.51,8,1,128
2021-07-13 09:41:00,19.51,9,1,129
2021-07-13 09:41:00,19.53,3,0,130
2021-07-13 09:41:00,19.51,18,1,131
2021-07-13 09:42:00,19.52,2,0,132
2021-07-13 09:42:00,19.51,11,1,133
2021-07-13 09:42:00,19.53,51,0,134
2021-07-13 09:42:00,19.53,8,0,135
2021-07-13 09:42:00,19.53,2,1,136
2021-07-13 09:42:00,19.52,10,1,137
2021-07-13 09:42:00,19.52,4,1,138
2021-07-13 09:42:00,19.52,23,1,139
2021-07-13 09:42:00,19.52,1,1,140
2021-07-13 09:42:00,19.52,5,0,141
2021-07-13 09:43:00,19.51,6,1,142
2021-07-13 09:43:00,19.51,5,1,143
2021-07-13 09:43:00,19.51,57,1,144
2021-07-13 09:43:00,19.5,50,1,145
2021-07-13 09:43:00,19.51,10,0,146
2021-07-13 09:43:00,19.5,2,1,147
2021-07-13 09:43:00,19.5,3,1,148
2021-07-13 09:43:00,19.51,1,0,149
2021-07-13 09:43:00,19.5,62,1,150
2021-07-13 09:43:00,19.5,15,1,151
2021-07-13 09:43:00,19.5,5,1,152
2021-07-13 09:43:00,19.51,20,0,153
2021-07-13 09:43:00,19.5,12,1,154
2021-07-13 09:44:00,19.51,9,0,155
2021-07-13 09:44:00,19.51,10,1,156
2021-07-13 09:44:00,19.51,1,1,157
2021-07-13 09:44:00,19.52,3,0,158
2021-07-13 09:44:00,19.51,2,1,159
2021-07-13 09:44:00,19.51,125,1,160
2021-07-13 09:44:00,19.5,2,1,161
2021-07-13 09:45:00,19.5,37,1,162
2021-07-13 09:45:00,19.49,1,1,163
2021-07-13 09:45:00,19.49,2,1,164
2021-07-13 09:45:00,19.49,1,1,165
2021-07-13 09:45:00,19.49,2,1,166
2021-07-13 09:45:00,19.49,3,1,167
2021-07-13 09:45:00,19.49,6,1,168
2021-07-13 09:45:00,19.5,20,0,169
2021-07-13 09:45:00,19.49,40,1,170
2021-07-13 09:45:00,19.49,8,1,171
2021-07-13 09:45:00,19.49,5,0,172
2021-07-13 09:45:00,19.49,54,0,173
2021-07-13 09:45:00,19.49,13,0,174
2021-07-13 09:46:00,19.49,7,1,175
2021-07-13 09:46:00,19.48,23,1,176
2021-07-13 09:46:00,19.48,7,1,177
2021-07-13 09:46:00,19.48,73,1,178
2021-07-13 09:46:00,19.48,11,0,179
2021-07-13 09:46:00,19.47,14,1,180
2021-07-13 09:46:00,19.47,10,1,181
2021-07-13 09:46:00,19.47,5,1,182
2021-07-13 09:46:00,19.47,24,1,183
2021-07-13 09:46:00,19.47,7,0,184
2021-07-13 09:46:00,19.45,82,1,185
2021-07-13 09:46:00,19.43,5,1,186
2021-07-13 09:47:00,19.43,34,1,187
2021-07-13 09:47:00,19.43,44,0,188
2021-07-13 09:47:00,19.42,30,1,189
2021-07-13 09:47:00,19.42,27,1,190
2021-07-13 09:47:00,19.42,10,0,191
2021-07-13 09:47:00,19.4,151,1,192
2021-07-13 09:47:00,19.42,8,0,193
2021-07-13 09:47:00,19.4,17,1,194
